Notes
RS,Regional Surcharge,An additional fee is required in order to use this data center.
DNP,Do Not Provision,"The Data Center must not be used due to planned data center decommissioning, or possible other factors."
NRU,Not Ready for Use,The Data Center is coming up online but can not be used yet. Please update your firewall configuration to allow future use.
Not in Gateway,The data center is not used in PAC files.
Location,IP Address (CIDR Notation),Proxy Hostname,GRE Virtual IP,VPN Host Name,Notes
EMEA,Copy IP Addresses
Abu Dhabi I,147.161.174.0/23,,147.161.174.0,,NRU
Amsterdam,185.46.212.0/23,ams2.sme.zscaler.net,185.46.212.32,amsterdam2-vpn.zscaler.net,
Amsterdam II,165.225.240.0/23,ams2-2.sme.zscaler.net,165.225.240.12,ams2-2-vpn.zscaler.net,Not in Gateway
Amsterdam II,147.161.172.0/23,,147.161.172.0,,NRU
Brussels,165.225.88.0/23,bru1.sme.zscaler.net,165.225.88.32,bru1-vpn.zscaler.net,"DNP,Not in Gateway"
Brussels II,165.225.12.0/23,bru2.sme.zscaler.net,165.225.12.12,bru2-vpn.zscaler.net,
Capetown,196.23.154.64/27,capetown1.sme.zscaler.net,196.23.154.86,capetown1-vpn.zscaler.net,RS
Copenhagen II,165.225.194.0/23,cph2.sme.zscaler.net,165.225.194.12,cph2-vpn.zscaler.net,
Dubai I,147.161.160.0/23,dxb1.sme.zscaler.net,147.161.160.12,dxb1-vpn.zscaler.net,"RS,Not in Gateway"
Frankfurt IV,165.225.72.0/22,fra4.sme.zscaler.net,165.225.72.32,fra4-vpn.zscaler.net,
Frankfurt IV,165.225.26.0/23,fra4-2.sme.zscaler.net,165.225.26.12,fra4-2-vpn.zscaler.net,Not in Gateway
Frankfurt IV,147.161.164.0/23,,147.161.164.0,,NRU
Johannesburg II,197.98.201.0/24,jnb2.sme.zscaler.net,197.98.201.9,jnb2-vpn.zscaler.net,RS
Johannesburg III,147.161.162.0/23,,147.161.162.0,,NRU
Lagos II,154.113.23.0/24,los2.sme.zscaler.net,154.113.23.10,los2-vpn.zscaler.net,RS
London III,165.225.80.0/22,lon3.sme.zscaler.net,165.225.80.32,lon3-vpn.zscaler.net,
London III,147.161.166.0/23,,147.161.166.0,,NRU
Madrid III,165.225.92.0/23,Mad3.sme.zscaler.net,165.225.92.12,Mad3-vpn.zscaler.net,
Manchester I,165.225.196.0/23,Man1.sme.zscaler.net,165.225.196.12,Man1-vpn.zscaler.net,
Manchester I,165.225.198.0/23,,165.225.198.0,,NRU
Milan II,165.225.86.0/23,mil2.sme.zscaler.net,165.225.86.32,mil2-vpn.zscaler.net,"DNP,Not in Gateway"
Milan III,165.225.202.0/23,mil3.sme.zscaler.net,165.225.202.12,mil3-vpn.zscaler.net,
Moscow II,165.225.66.0/24,mow2.sme.zscaler.net,165.225.66.32,mow2-vpn.zscaler.net,"DNP,Not in Gateway"
Moscow III,165.225.90.0/23,mow3.sme.zscaler.net,165.225.90.12,mow3-vpn.zscaler.net,
Munich I,147.161.168.0/23,,147.161.168.0,,NRU
Munich I,147.161.170.0/23,,147.161.170.0,,NRU
Munich I,147.161.176.0/23,,147.161.176.0,,NRU
Oslo II,213.52.102.0/24,osl2.sme.zscaler.net,213.52.102.8,osl2-vpn.zscaler.net,
Paris II,165.225.76.0/23,par2.sme.zscaler.net,165.225.76.32,par2-vpn.zscaler.net,
Paris II,165.225.20.0/23,par2-2.sme.zscaler.net,165.225.20.12,par2-2-vpn.zscaler.net,Not in Gateway
Rouen I,165.225.204.0/23,uro1.sme.zscaler.net,165.225.204.12,uro1-vpn.zscaler.net,
Stockholm III,165.225.192.0/23,sto3.sme.zscaler.net,165.225.192.12,sto3-vpn.zscaler.net,
Tel Aviv,94.188.248.64/26,tlv1.sme.zscaler.net,94.188.248.71,tlv1-vpn.zscaler.net,Not in Gateway
Vienna I,165.225.200.0/23,vie1.sme.zscaler.net,165.225.200.12,vie1-vpn.zscaler.net,
Warsaw II,165.225.206.0/23,waw2.sme.zscaler.net,165.225.206.12,waw2-vpn.zscaler.net,
Zurich,165.225.94.0/23,zrh1-2.sme.zscaler.net,165.225.94.12,zrh1-2-vpn.zscaler.net,
Americas,Copy IP Addresses
Atlanta II,104.129.204.0/23,atl2.sme.zscaler.net,104.129.204.32,atl2-vpn.zscaler.net,
Atlanta II,104.129.206.0/23,,104.129.206.0,,NRU
Chicago,104.129.196.0/23,chi1.sme.zscaler.net,104.129.196.32,chi1-vpn.zscaler.net,DNP
Chicago,128.177.125.0/24,,128.177.125.0,,NRU
Chicago,165.225.0.0/23,,165.225.0.0,,NRU
Chicago,165.225.56.0/22,chi1-2.sme.zscaler.net,165.225.56.12,chi1-2-vpn.zscaler.net,
Chicago,165.225.60.0/22,,165.225.60.0,,NRU
Chicago,137.83.154.0/24,,137.83.154.0,,NRU
Chicago,165.225.2.0/24,,165.225.2.0,,NRU
Dallas I,165.225.34.0/23,dfw1.sme.zscaler.net,165.225.34.32,dfw1-vpn.zscaler.net,DNP
Dallas I,165.225.216.0/23,dfw1-2.sme.zscaler.net,165.225.216.12,dfw1-2-vpn.zscaler.net,Not in Gateway
Denver,104.129.200.0/24,den2.sme.zscaler.net,104.129.200.32,den2-vpn.zscaler.net,"DNP,Not in Gateway"
Denver III,165.225.10.0/23,den3.sme.zscaler.net,165.225.10.12,den3-vpn.zscaler.net,
Los Angeles,104.129.198.0/23,qla1.sme.zscaler.net,104.129.198.32,qla1-vpn.zscaler.net,
Miami III,165.225.222.0/23,mia3.sme.zscaler.net,165.225.222.12,mia3-vpn.zscaler.net,
Montreal I,165.225.212.0/23,,165.225.212.0,,NRU
New York III,165.225.38.0/23,nyc3.sme.zscaler.net,165.225.38.36,nyc3-vpn.zscaler.net,
New York III,165.225.220.0/23,,165.225.220.0,,NRU
Nuevo Laredo I,165.225.218.0/23,nld1.sme.zscaler.net,165.225.218.12,nld1-vpn.zscaler.net,
San Francisco IV,104.129.192.0/23,sjc4.sme.zscaler.net,104.129.192.32,sjc4-vpn.zscaler.net,DNP
San Francisco IV,165.225.242.0/23,sjc4-2.sme.zscaler.net,165.225.242.12,sjc4-2-vpn.zscaler.net,
Sao Paulo,64.215.22.0/24,sao2.sme.zscaler.net,64.215.22.32,saopaulo2-vpn.zscaler.net,"DNP,RS,Not in Gateway"
Sao Paulo II,165.225.214.0/23,sao2-2.sme.zscaler.net,165.225.214.16,sao2-2-vpn.zscaler.net,"DNP,RS"
Sao Paulo IV,147.161.128.0/23,sao4.sme.zscaler.net,147.161.128.12,sao4-vpn.zscaler.net,"RS,Not in Gateway"
Seattle,165.225.50.0/23,sea1.sme.zscaler.net,165.225.50.8,sea1-vpn.zscaler.net,
Toronto III,165.225.208.0/23,yto3.sme.zscaler.net,165.225.208.12,yto3-vpn.zscaler.net,
Vancouver I,165.225.210.0/23,yvr1.sme.zscaler.net,165.225.210.12,yvr1-vpn.zscaler.net,
Washington DC,104.129.194.0/23,was1.sme.zscaler.net,104.129.194.32,was1-vpn.zscaler.net,"DNP,Not in Gateway"
Washington DC,165.225.8.0/23,was1-2.sme.zscaler.net,165.225.8.12,was1-2-vpn.zscaler.net,
APAC,Copy IP Addresses
Auckland,124.248.141.0/24,akl1.sme.zscaler.net,124.248.141.8,akl1-vpn.zscaler.net,"RS,Not in Gateway"
Beijing,211.144.19.0/24,bjs1.sme.zscaler.net,211.144.19.12,bjs1-vpn.zscaler.net,"RS,Not in Gateway"
Chennai,165.225.104.0/24,maa1.sme.zscaler.net,165.225.104.32,maa1-vpn.zscaler.net,DNP
Chennai II,165.225.122.0/23,maa2.sme.zscaler.net,165.225.122.12,maa2-vpn.zscaler.net,
Hong Kong III,165.225.116.0/23,hkg3.sme.zscaler.net,165.225.116.8,hkg3-vpn.zscaler.net,
Hong Kong III,165.225.234.0/23,,165.225.234.0,,NRU
Kuala Lumpur I,112.137.170.0/24,kul1.sme.zscaler.net,112.137.170.10,kul1-vpn.zscaler.net,Not in Gateway
Melbourne,165.225.98.0/24,mel1.sme.zscaler.net,165.225.98.32,mel1-vpn.zscaler.net,"DNP,RS"
Melbourne II,165.225.226.0/23,mel2.sme.zscaler.net,165.225.226.12,mel2-vpn.zscaler.net,RS
Mumbai IV,165.225.106.0/23,bom4.sme.zscaler.net,165.225.106.32,bom4-vpn.zscaler.net,DNP
Mumbai VI,165.225.120.0/23,bom6.sme.zscaler.net,165.225.120.12,bom6-vpn.zscaler.net,
New Delhi I,165.225.124.0/23,del1.sme.zscaler.net,165.225.124.12,del1-vpn.zscaler.net,
Osaka I,147.161.192.0/23,osa1.sme.zscaler.net,147.161.192.12,osa1-vpn.zscaler.net,Not in Gateway
Seoul I,165.225.228.0/23,sel1.sme.zscaler.net,165.225.228.12,sel1-vpn.zscaler.net,"RS,Not in Gateway"
Seoul III,1.234.57.0/24,sel3.sme.zscaler.net,1.234.57.8,sel3-vpn.zscaler.net,"DNP,RS,Not in Gateway"
Shanghai,58.220.95.0/24,sha1.sme.zscaler.net,58.220.95.8,sha1-vpn.zscaler.net,"RS,Not in Gateway"
Singapore IV,165.225.112.0/23,sin4.sme.zscaler.net,165.225.112.8,sin4-vpn.zscaler.net,
Singapore IV,165.225.230.0/23,,165.225.230.0,,NRU
Sydney,175.45.116.0/24,syd2.sme.zscaler.net,175.45.116.32,sydney2-vpn.zscaler.net,"DNP,RS"
Sydney III,165.225.114.0/23,syd3.sme.zscaler.net,165.225.114.8,syd3-vpn.zscaler.net,RS
Sydney III,165.225.232.0/23,,165.225.232.0,,NRU
Taipei,165.225.102.0/24,tpe2.sme.zscaler.net,165.225.102.32,tpe2-vpn.zscaler.net,Not in Gateway
Tianjin,221.122.91.0/24,tsn1.sme.zscaler.net,221.122.91.32,tsn1-vpn.zscaler.net,"RS,Not in Gateway"
Tokyo IV,165.225.110.0/23,tyo4.sme.zscaler.net,165.225.110.8,tyo4-vpn.zscaler.net,
Tokyo IV,165.225.96.0/23,,165.225.96.0,,NRU
Future Data centers
Upcoming DC I,185.46.212.0/22,,,,
Upcoming DC II,104.129.192.0/20,,,,
Upcoming DC III,165.225.0.0/17,,,,
Upcoming DC IV,165.225.192.0/18,,,,
Upcoming DC V,147.161.128.0/17,,,,
Upcoming DC VI,136.226.0.0/16,,,,
Upcoming DC VII,137.83.128.0/18,,,,
Global ZEN IP addresses
185.46.212.88,185.46.212.89,185.46.212.90,185.46.212.91
185.46.212.92,185.46.212.93,185.46.212.97,185.46.212.98
